"rgn_id","sciname","category"
1,"Balaenoptera musculus","EN"
1,"Cheilinus undulatus","EN"
1,"Chelonia mydas","EN"
1,"Megaptera novaeangliae","LC"
1,"Triaenodon obesus","NT"
2,"Cheilinus undulatus","EN"
2,"Chelonia mydas","EN"
2,"Triaenodon obesus","NT"
3,"Galeocerdo cuvier","NT"
3,"Triaenodon obesus","NT"
5,"Alopias vulpinus","VU"
5,"Balaenoptera acutorostrata","LC"
5,"Balaenoptera musculus","EN"
5,"Balaenoptera physalus","EN"
5,"Carcharhinus melanopterus","NT"
5,"Carcharodon carcharias","VU"
5,"Caretta caretta","EN"
5,"Cheilinus undulatus","EN"
5,"Chelonia mydas","EN"
5,"Dermochelys coriacea","VU"
5,"Dermochelys coriacea","CR"
5,"Galeocerdo cuvier","NT"
5,"Isurus oxyrinchus","VU"
5,"Isurus oxyrinchus","VU"
5,"Megaptera novaeangliae","LC"
5,"Megaptera novaeangliae","EN"
5,"Prionace glauca","NT"
5,"Rhincodon typus","VU"
5,"Triaenodon obesus","NT"
6,"Alopias vulpinus","VU"
6,"Cheilinus undulatus","EN"
6,"Chelonia mydas","EN"
6,"Eretmochelys imbricata","CR"
6,"Galeocerdo cuvier","NT"
6,"Isurus oxyrinchus","VU"
6,"Megaptera novaeangliae","LC"
6,"Megaptera novaeangliae","EN"
6,"Prionace glauca","NT"
6,"Rhincodon typus","VU"
6,"Triaenodon obesus","NT"
7,"Carcharhinus melanopterus","NT"
7,"Cheilinus undulatus","EN"
7,"Chelonia mydas","EN"
7,"Dermochelys coriacea","VU"
7,"Dermochelys coriacea","CR"
7,"Eretmochelys imbricata","CR"
7,"Galeocerdo cuvier","NT"
7,"Isurus oxyrinchus","VU"
7,"Isurus paucus","VU"
7,"Megaptera novaeangliae","LC"
7,"Megaptera novaeangliae","EN"
7,"Prionace glauca","NT"
7,"Rhincodon typus","VU"
7,"Triaenodon obesus","NT"
8,"Balaenoptera musculus","EN"
8,"Cheilinus undulatus","EN"
8,"Chelonia mydas","EN"
8,"Dermochelys coriacea","VU"
8,"Dermochelys coriacea","CR"
8,"Eretmochelys imbricata","CR"
8,"Galeocerdo cuvier","NT"
8,"Isurus oxyrinchus","VU"
8,"Megaptera novaeangliae","LC"
8,"Megaptera novaeangliae","EN"
8,"Prionace glauca","NT"
8,"Triaenodon obesus","NT"
9,"Cheilinus undulatus","EN"
9,"Chelonia mydas","EN"
9,"Dermochelys coriacea","VU"
9,"Dermochelys coriacea","CR"
9,"Eretmochelys imbricata","CR"
9,"Galeocerdo cuvier","NT"
9,"Isurus oxyrinchus","VU"
9,"Isurus paucus","VU"
9,"Lepidochelys olivacea","VU"
9,"Megaptera novaeangliae","EN"
9,"Prionace glauca","NT"
9,"Rhincodon typus","VU"
10,"Cheilinus undulatus","EN"
10,"Galeocerdo cuvier","NT"
10,"Isurus oxyrinchus","VU"
10,"Isurus paucus","VU"
10,"Megaptera novaeangliae","LC"
10,"Megaptera novaeangliae","EN"
10,"Prionace glauca","NT"
10,"Rhincodon typus","VU"
10,"Triaenodon obesus","NT"
11,"Balaenoptera musculus","EN"
11,"Carcharhinus melanopterus","NT"
11,"Cheilinus undulatus","EN"
11,"Chelonia mydas","EN"
11,"Dermochelys coriacea","VU"
11,"Dermochelys coriacea","CR"
11,"Galeocerdo cuvier","NT"
11,"Isurus oxyrinchus","VU"
11,"Megaptera novaeangliae","LC"
11,"Megaptera novaeangliae","EN"
11,"Prionace glauca","NT"
11,"Rhincodon typus","VU"
11,"Triaenodon obesus","NT"
12,"Cheilinus undulatus","EN"
12,"Chelonia mydas","EN"
12,"Galeocerdo cuvier","NT"
13,"Balaenoptera borealis","EN"
13,"Balaenoptera musculus","EN"
13,"Cheilinus undulatus","EN"
13,"Cheilinus undulatus","EN"
13,"Chelonia mydas","EN"
13,"Chelonia mydas","EN"
13,"Dermochelys coriacea","VU"
13,"Dermochelys coriacea","VU"
13,"Dermochelys coriacea","CR"
13,"Dermochelys coriacea","CR"
13,"Eretmochelys imbricata","CR"
13,"Galeocerdo cuvier","NT"
13,"Galeocerdo cuvier","NT"
13,"Isurus oxyrinchus","VU"
13,"Megaptera novaeangliae","LC"
13,"Megaptera novaeangliae","LC"
13,"Megaptera novaeangliae","EN"
13,"Megaptera novaeangliae","EN"
13,"Prionace glauca","NT"
13,"Prionace glauca","NT"
13,"Triaenodon obesus","NT"
13,"Triaenodon obesus","NT"
14,"Alopias vulpinus","VU"
14,"Balaenoptera acutorostrata","LC"
14,"Balaenoptera musculus","EN"
14,"Cheilinus undulatus","EN"
14,"Dermochelys coriacea","VU"
14,"Dermochelys coriacea","CR"
14,"Eretmochelys imbricata","CR"
14,"Isurus oxyrinchus","VU"
14,"Isurus oxyrinchus","VU"
14,"Isurus paucus","VU"
14,"Lepidochelys olivacea","VU"
14,"Megaptera novaeangliae","LC"
14,"Prionace glauca","NT"
14,"Rhincodon typus","VU"
15,"Balaenoptera musculus","EN"
15,"Balaenoptera physalus","EN"
15,"Carcharhinus melanopterus","NT"
15,"Carcharodon carcharias","VU"
15,"Caretta caretta","EN"
15,"Cheilinus undulatus","EN"
15,"Chelonia mydas","EN"
15,"Dermochelys coriacea","VU"
15,"Dermochelys coriacea","CR"
15,"Eretmochelys imbricata","CR"
15,"Isurus oxyrinchus","VU"
15,"Lepidochelys olivacea","VU"
15,"Megaptera novaeangliae","LC"
15,"Orcaella brevirostris","CR"
15,"Orcaella brevirostris","VU"
15,"Prionace glauca","NT"
15,"Rhincodon typus","VU"
15,"Triaenodon obesus","NT"
16,"Alopias vulpinus","VU"
16,"Balaenoptera acutorostrata","LC"
16,"Balaenoptera borealis","EN"
16,"Balaenoptera borealis","EN"
16,"Balaenoptera musculus","EN"
16,"Balaenoptera musculus","EN"
16,"Balaenoptera physalus","EN"
16,"Balaenoptera physalus","EN"
16,"Carcharhinus amblyrhynchos","NT"
16,"Carcharhinus melanopterus","NT"
16,"Carcharodon carcharias","VU"
16,"Caretta caretta","EN"
16,"Caretta caretta","EN"
16,"Cetorhinus maximus","VU"
16,"Cheilinus undulatus","EN"
16,"Chelonia mydas","EN"
16,"Chelonia mydas","EN"
16,"Delphinus delphis","LC"
16,"Dermochelys coriacea","VU"
16,"Dermochelys coriacea","CR"
16,"Dermochelys coriacea","VU"
16,"Dermochelys coriacea","CR"
16,"Eretmochelys imbricata","CR"
16,"Eretmochelys imbricata","CR"
16,"Eubalaena australis","LC"
16,"Galeocerdo cuvier","NT"
16,"Grampus griseus","LC"
16,"Hyperoodon planifrons","LC"
16,"Isurus oxyrinchus","VU"
16,"Isurus oxyrinchus","VU"
16,"Isurus paucus","VU"
16,"Lagenodelphis hosei","LC"
16,"Lagenorhynchus cruciger","LC"
16,"Lamna nasus","VU"
16,"Lepidochelys olivacea","VU"
16,"Lepidochelys olivacea","VU"
16,"Megaptera novaeangliae","LC"
16,"Megaptera novaeangliae","EN"
16,"Megaptera novaeangliae","LC"
16,"Megaptera novaeangliae","EN"
16,"Orcaella heinsohni","NT"
16,"Peponocephala electra","LC"
16,"Physeter macrocephalus","VU"
16,"Prionace glauca","NT"
16,"Rhincodon typus","VU"
16,"Sousa chinensis","NT"
16,"Stenella attenuata","LC"
16,"Stenella coeruleoalba","LC"
16,"Steno bredanensis","LC"
16,"Triaenodon obesus","NT"
16,"Tursiops truncatus","LC"
16,"Ziphius cavirostris","LC"
17,"Balaenoptera acutorostrata","LC"
17,"Cheilinus undulatus","EN"
17,"Chelonia mydas","EN"
17,"Dermochelys coriacea","VU"
17,"Dermochelys coriacea","CR"
17,"Eretmochelys imbricata","CR"
17,"Galeocerdo cuvier","NT"
17,"Isurus oxyrinchus","VU"
17,"Lepidochelys olivacea","VU"
17,"Megaptera novaeangliae","LC"
17,"Megaptera novaeangliae","EN"
17,"Prionace glauca","NT"
17,"Rhincodon typus","VU"
18,"Balaenoptera physalus","EN"
18,"Cheilinus undulatus","EN"
18,"Chelonia mydas","EN"
18,"Dermochelys coriacea","VU"
18,"Dermochelys coriacea","CR"
18,"Eretmochelys imbricata","CR"
18,"Galeocerdo cuvier","NT"
18,"Isurus oxyrinchus","VU"
18,"Isurus oxyrinchus","VU"
18,"Megaptera novaeangliae","LC"
18,"Megaptera novaeangliae","EN"
18,"Prionace glauca","NT"
18,"Rhincodon typus","VU"
18,"Triaenodon obesus","NT"
