"rgn_id","year","value"
82,2018,0.6
82,2020,1
82,2022,1
82,2024,1
84,2018,1
84,2020,1
84,2022,1
84,2024,1
200,2018,1
200,2020,1
200,2022,1
200,2024,1
120,2018,1
120,2020,1
120,2022,1
120,2024,1
172,2018,0.4
172,2020,0.4
172,2022,0.8
172,2024,0.4
110,2018,0.8
110,2020,0.8
110,2022,0.8
110,2024,1
52,2018,0.6
52,2020,1
52,2022,0.8
52,2024,0.6
204,2018,0.6
204,2020,0.6
204,2022,1
204,2024,1
59,2018,0.8
59,2020,0.8
59,2022,1
59,2024,1
164,2018,1
164,2020,1
164,2022,1
164,2024,1
99,2018,0.8
99,2020,0.8
99,2022,0.8
99,2024,1
232,2018,0.2
232,2020,0.2
232,2022,0.2
232,2024,0.2
171,2018,1
171,2020,1
171,2022,1
171,2024,1
71,2018,0.8
71,2020,0.8
71,2022,1
71,2024,1
56,2018,1
56,2020,1
56,2022,1
56,2024,1
24,2018,1
24,2020,1
24,2022,1
24,2024,1
197,2018,0.8
197,2020,0.8
197,2022,0.8
197,2024,0.8
218,2018,0.8
218,2020,0.8
218,2022,0.8
218,2024,0.8
224,2018,1
224,2020,1
224,2022,1
224,2024,1
209,2018,0.4
209,2020,0.4
209,2022,0.4
209,2024,0.4
14,2018,0.4
14,2020,0.4
14,2022,0.4
14,2024,0.4
132,2018,1
132,2020,1
132,2022,1
132,2024,1
28,2018,1
28,2020,1
28,2022,1
28,2024,1
100,2018,0.8
100,2020,0.8
100,2022,0.8
100,2024,0.8
153,2018,0.8
153,2020,0.8
153,2022,0.8
153,2024,0.8
130,2018,1
130,2020,1
130,2022,1
130,2024,1
195,2018,1
195,2020,1
195,2022,1
195,2024,1
187,2018,0.8
187,2020,0.8
187,2022,1
187,2024,1
112,2018,1
112,2020,1
112,2022,1
112,2024,1
81,2018,0.8
81,2020,0.8
81,2022,1
81,2024,1
21,2018,0.6
21,2020,0.8
21,2022,0.8
21,2024,0.8
175,2018,0.8
175,2020,0.8
175,2022,1
175,2024,1
123,2018,0.6
123,2020,0.6
123,2022,0.4
123,2024,0.4
115,2018,0.8
115,2020,0.8
115,2022,0.8
115,2024,0.2
137,2018,1
137,2020,1
137,2022,1
137,2024,1
214,2018,0.6
214,2020,0.6
