layer,type,weight
species_diversity_eez,environmental,1
species_diversity_3nm,environmental,1
sp_alien_species,regulatory,1
g_cites,regulatory,1
fp_mpa_coast,regulatory,0.25
fp_mpa_eez,regulatory,0.25
fp_habitat,regulatory,0.25
fp_mora,regulatory,0.25
fp_mora_artisanal,regulatory,0.25
hd_habitat,regulatory,0.5
hd_mpa_coast,regulatory,0.5
hd_mpa_eez,regulatory,0.5
g_mariculture,regulatory,0.5
g_msi_gov,regulatory,1
g_tourism,regulatory,0.5
po_water,regulatory,1
li_gci,social,1
li_sector_evenness,social,1
wgi_all,social,1
