"rgn_name","rgn_id","product","year","tonnes","usd","usd_ix0","usd_coef","tonnes_mdl","tonnes_orig","tonnes_ix0","tonnes_coef","usd_mdl","usd_orig","n_years","tonnes_rollmean","usd_rollmean","tonnes_peak","usd_peak","usd_peak_product_weight","usd_rel","tonnes_rel_orig","tonnes_rel","km2","exposure_raw","exposure_product_max","exposure","risk","sustainability","product_status"
"Vanuatu",6,"corals",1998,25,34,,,,25,,,,34,13,,,31.2,67.6,0.124142047150104,0.502958579881657,0.801282051282051,0.801282051282051,459.33,0.0544271003418022,289.72230174635,0.00934311414627284,1,0.495328442926864,0.396897790806782
"Vanuatu",6,"corals",1999,48,54,,,,48,,,,54,13,,,31.2,67.6,0.124142047150104,0.798816568047337,1,1,459.33,0.10450003265626,289.72230174635,0.0175222701167635,1,0.491238864941618,0.491238864941618
"Vanuatu",6,"corals",2000,0,0,,,,0,,,,0,13,,,31.2,67.6,0.124142047150104,0,0,0,459.33,0,289.72230174635,0,1,0.5,0
"Vanuatu",6,"corals",2001,25.5,46.75,,,,29,,,,99,13,25.5,46.75,31.2,67.6,0.124142047150104,0.691568047337278,0.817307692307692,0.817307692307692,459.33,0.0555156423486382,289.72230174635,0.00952501725405295,1,0.495237491372974,0.404761411218296
"Vanuatu",6,"corals",2002,34,52.5,,,,59,,,,57,13,34,52.5,31.2,67.6,0.124142047150104,0.776627218934911,1,1,459.33,0.074020856464851,289.72230174635,0.0125889943589165,1,0.493705502820542,0.493705502820542
"Vanuatu",6,"corals",2003,37.75,93.75,,,,63,,,,219,13,37.75,93.75,31.2,67.6,0.124142047150104,1,1,1,459.33,0.0821849215161213,289.72230174635,0.0139240024067778,1,0.493037998796611,0.493037998796611
"Vanuatu",6,"corals",2004,46.75,104,,,,36,,,,41,13,46.75,104,31.2,67.6,0.124142047150104,1,1,1,459.33,0.10177867763917,289.72230174635,0.0170873689175926,1,0.491456315541204,0.491456315541204
"Vanuatu",6,"corals",2005,47.5,83,,,,32,,,,15,13,47.5,83,31.2,67.6,0.124142047150104,1,1,1,459.33,0.103411490649424,289.72230174635,0.0173484383598623,1,0.491325780820069,0.491325780820069
"Vanuatu",6,"corals",2006,32.75,68.75,,,,0,,,,0,13,32.75,68.75,31.2,67.6,0.124142047150104,1,1,1,459.33,0.0712995014477609,289.72230174635,0.0121417356167337,1,0.493929132191633,0.493929132191633
"Vanuatu",6,"corals",2007,17,14,,,,0,,,,0,13,17,14,31.2,67.6,0.124142047150104,0.207100591715976,0.544871794871795,0.544871794871795,459.33,0.0370104282324255,289.72230174635,0.00640684490270273,1,0.496796577548649,0.270690442895097
"Vanuatu",6,"corals",2008,8,3.75,,,,0,,,,0,13,8,3.75,31.2,67.6,0.124142047150104,0.0554733727810651,0.256410256410256,0.256410256410256,459.33,0.0174166721093767,289.72230174635,0.00304400889703135,1,0.498477995551484,0.127814870654227
"Vanuatu",6,"corals",2009,0,0,,,,0,,,,0,13,0,0,31.2,67.6,0.124142047150104,0,0,0,459.33,0,289.72230174635,0,1,0.5,0
"Vanuatu",6,"corals",2010,0,0,,,,0,,,,0,13,0,0,31.2,67.6,0.124142047150104,0,0,0,459.33,0,289.72230174635,0,1,0.5,0
"Solomon Islands",7,"corals",1998,391,1007,,,,391,,,,1007,13,,,254.15,654.55,0.725504322766571,1,1,1,2197.97,0.177891417990236,289.72230174635,0.0288637639576156,1,0.485568118021192,0.485568118021192
"Solomon Islands",7,"corals",1999,238,810,,,,238,,,,810,13,,,254.15,654.55,0.725504322766571,1,0.936454849498328,0.936454849498328,2197.97,0.108281732689709,289.72230174635,0.0181248497845604,1,0.49093757510772,0.459740873010574
