"targets","layer","layer_old","name","description","citation_nature2012","citation_plos2013","fld_value","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","src_2014a","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"AO","ao_access","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","7.04","5.04","value","value",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv",,,"N",TRUE,"neptune_data:model/GL-NCEAS-Resilience_Mora/whence_2013a","mora_whence.csv","population_inland25km","ao_access.csv",,"country_id",,,"score",
"AO","ao_need","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","7.05","5.05","value","value",,"new","new",,,"U",,"ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2012a.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2013a.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2014a.csv","Y: done",TRUE,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_2013a_whence.csv","population_inland25km","ao_need.csv",,"country_id",,"year","score",
"CW","cw_coastalpopn_trend","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","6I","5.09","trend","trend score",,"2012a","new",,,"U",,"neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2007to2012.csv","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2008to2013.csv",,,"N",TRUE,,,"population_inland25km",,,,,,,
"CW","cw_pathogen_trend","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities",,,"trend","trend score",,,,,,,,"ohiprep:Global/WHOUNICEF-Sanitation_v2012/data","pathogens_popdensity25km_trend_2012a.csv","ohiprep:Global/WHOUNICEF-Sanitation_v2012/data","pathogens_popdensity25km_trend_2013a.csv","ohiprep:Global/WHOUNICEF-Sanitation_v2012/data","pathogens_popdensity25km_trend_2014a.csv","Y: done",TRUE,,,,,,,,,,
"CW","cw_fertilizer_trend","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","7.19","5.19","trend.score","trend score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,"neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2012a.csv","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2014a.csv","Y: done",TRUE,"ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2013a.csv","population_inland25km",,,,,,,
"CW","cw_pesticide_trend","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","6I","5.58","trend.score","trend score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,"neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2012a.csv","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2014a.csv","Y: done",TRUE,"ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2013a.csv","population_inland25km",,,,,,,
"ECO",,"gdp",,,,,,,,,,,,,,,,,,"ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdp_2014a.csv","Y: done",,"ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdp_2014a_attr.csv","(not ingested; see column X)",,,,,,,
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"6A","6A","b_bmsy","B / B_msy",,,,,,,,"ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv","Y: done",TRUE,,,"?",,,,,,,
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","6A","6A","mean_catch","metric tons",,,,,,,,"ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv","Y: done",TRUE,,,"?",,,,,,,
"FIS","fis_proparea_saup2rgn","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","6A","6A","prop_area","proportion of area",,,,,,,,"ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv","Y: done",TRUE,,,"?",,,,,,,
"FIS","fis_trend","rn_fis_trend","Fisheries trend","Modeled fisheries trend based on the Sea Around Us Project (status)","6A","5.2","trend","trend score",,,"new",,,"L",,"neptune_data:model/GL-NCEAS_FIS_v2012a","FIS_Trend_2012a_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a","FIS_Trend_2013a_lyr.csv",,,,FALSE,,,"(not ingested; see column X)",,,,,,,
