"rgn_id","score"
1,0.854498
2,0.845091
3,0.843227
4,0.817132
5,0.870926
6,0.878708
7,0.870353
8,0.859471
9,0.848127
10,0.841671
11,0.854422
12,0.822089
13,0.838551
14,0.881694
15,0.872276
16,0.862654
17,0.875648
18,0.858254
19,0.85904
20,0.882073
21,0.859528
24,0.894364
25,0.890673
26,0.869822
28,0.8773
29,0.88565
30,0.893916
31,0.862731
32,0.861849
33,0.879405
34,0.854825
35,0.859703
36,0.852447
37,0.852867
38,0.851926
39,0.878011
40,0.87231
41,0.881655
42,0.860655
43,0.872921
44,0.87755
45,0.889397
46,0.893264
47,0.87802
48,0.872403
49,0.896284
50,0.900449
51,0.921191
52,0.916672
53,0.868873
54,0.916166
55,0.799968
56,0.829516
57,0.806081
58,0.832031
59,0.885992
60,0.854963
61,0.87715
62,0.832985
63,0.828153
64,0.865707
65,0.84567
66,0.847681
67,0.900776
68,0.880893
69,0.875059
70,0.866687
71,0.899388
72,0.885814
73,0.84403
74,0.923704
75,0.901771
76,0.923752
77,0.953823
78,0.949395
79,0.941433
80,0.918967
81,0.932646
82,0.894045
84,0.885845
85,0.83295
86,0.833474
88,0.815884
89,0.81859
90,0.816868
91,0.811808
92,0.801686
93,0.831389
94,0.841101
95,0.773436
96,0.858245
97,0.859631
98,0.860247
99,0.866143
100,0.87525
101,0.840801
102,0.837144
103,0.88567
104,0.847859
105,0.814529
106,0.858567
107,0.83594
108,0.799847
110,0.888533
111,0.867569
112,0.901994
113,0.89254
114,0.895651
115,0.884665
116,0.883081
117,0.862102
118,0.859993
119,0.914516
120,0.863111
121,0.912198
122,0.908564
123,0.885006
124,0.854283
125,0.904113
126,0.892186
127,0.906573
129,0.897629
130,0.856946
131,0.899079
132,0.87745
133,0.898371
134,0.879506
135,0.863749
136,0.872068
137,0.855899
138,0.849274
139,0.884126
140,0.871935
141,0.773563
143,0.798264
144,0.737897
145,0.802916
146,0.837517
147,0.871228
148,0.850868
149,0.8468
150,0.861066
151,0.862815
152,0.883941
153,0.860592
154,0.858883
155,0.880952
156,0.86326
157,0.863227
158,0.850934
159,0.836177
161,0.876561
162,0.832469
163,0.845682
164,0.904965
166,0.886191
167,0.873682
168,0.865767
169,0.859919
171,0.849105
172,0.779081
173,0.783244
174,0.867493
175,0.882332
176,0.881261
177,0.875432
178,0.889779
179,0.860057
180,0.842979
181,0.826795
182,0.860856
183,0.831886
184,0.891685
185,0.922461
186,0.891187
187,0.89261
188,0.892025
189,0.889789
190,0.920753
191,0.929111
192,0.923741
193,0.840624
194,0.837717
195,0.861863
196,0.858791
197,0.8574
198,0.845022
199,0.858131
200,0.853224
202,0.875171
203,0.884494
204,0.910193
205,0.877362
206,0.860323
207,0.877026
208,0.850089
209,0.905191
210,0.855006
212,0.856178
213,0.836598
214,0.918466
215,0.896072
216,0.864707
218,0.838973
219,0.804669
220,0.91797
221,0.911649
222,0.879638
223,0.788691
224,0.816803
227,0.863045
228,0.86176
231,0.87066
232,0.888083
237,0.871776
244,0.882649
245,0.897883
247,0.856105
248,0.908677
249,0.913644
250,0.889065
255,0.887709
