"rgn_id","trend"
1,0
2,0
3,0
4,0.0396
5,-0.0031
6,0.0082
7,0
8,6e-04
9,-0.0057
10,0
11,0
12,0
13,0
14,0.0063
15,-0.0236
16,0.0106
17,-0.0067
18,0.0167
19,0
20,-0.0185
21,0
24,9e-04
25,-0.0744
26,0.1158
28,0.0215
29,0
30,0
31,1e-04
32,0
33,0
34,0
35,0
36,0
37,-0.0239
38,0
39,0
40,-0.0121
41,0.0252
42,0.019
43,-0.0092
44,6e-04
45,-3e-04
46,0
47,0.0166
48,-0.0292
49,0.0023
50,0.0058
51,0.0105
52,0.0199
53,0.0195
54,-0.0324
55,-0.0426
56,-8e-04
57,-0.0382
58,0.014
59,-1e-04
60,-0.001
61,0.0047
62,-0.0154
63,0
64,-0.0018
65,-0.0093
66,-0.0023
67,-0.1954
68,0.017
69,0.0092
70,0.0079
71,-0.0364
72,-0.0136
73,4e-04
74,0.0028
75,0.1125
76,-0.0095
77,-0.1172
78,0.0042
79,-0.0732
80,-0.0118
81,-0.0286
82,-0.0219
84,0.0918
85,0
86,0
88,0
89,0
90,0.6007
91,0
92,0
93,0
94,0
95,0
96,0.0598
97,0.0049
98,0.0189
99,0.0286
100,-0.0048
101,0.0247
102,0.1247
103,-0.011
104,-0.0011
105,0
106,-0.0938
107,0
108,0
110,1e-04
111,0
112,0.042
113,0
114,-0.0307
115,-0.1251
116,0
117,0
118,0
119,-0.0101
120,0.0185
121,0
122,0.0011
123,-0.0038
124,-0.0201
125,0.0012
126,-0.0087
127,-1e-04
129,-0.0098
130,-0.2356
131,-0.3833
132,-0.0089
133,-0.0648
134,0.0139
135,5e-04
136,0.028
137,-0.073
138,0.1117
139,-0.026
140,0
141,0
143,-1e-04
144,0
145,0
146,0
147,-0.001
148,-0.0095
149,0
150,0
151,0
152,-0.0051
153,-0.0022
154,0
155,-0.0536
156,0
157,0
158,0
159,0
161,0
162,0.0956
163,0.0067
164,3e-04
166,-0.0049
167,0.0555
168,-0.1497
169,-0.0555
171,-0.0085
172,-0.3293
173,0.0426
174,-0.0041
175,0.0317
176,0.0124
177,7e-04
178,0.014
179,-0.0055
180,-0.0092
181,0.0061
182,0.0072
183,-0.0382
184,-0.0158
185,-1e-04
186,-0.0031
187,0.005
188,-8e-04
189,-0.0035
190,0.0475
191,0.0133
192,0.0095
193,0.0142
194,-0.004
195,0.0211
196,0.0328
197,-0.091
198,-0.0118
199,-2e-04
200,-0.001
202,-0.0416
203,0.2824
204,0.1237
205,0.0634
206,-0.1226
207,-0.0215
208,-1e-04
209,0.0284
210,-0.0062
212,0
213,0
214,0.0074
215,0.1035
216,0.0131
218,-0.0032
219,0
220,0
221,0
222,-0.0013
223,0.001
224,-0.0189
227,2e-04
228,-1e-04
231,0.0217
232,0.0025
237,-0.01
244,0
245,0
247,-0.0177
248,0
249,-9e-04
250,0
