"cntry_key","sector","year","value"
"ARG","sb",2012,1
"AUS","ph",2012,1
"AUS","sb",2012,1
"AUS","tour",2012,1
"AUS","tran",2012,1
"BEL","cf",2012,1
"BHR","sb",2012,1
"BHR","tour",2012,1
"BHR","tran",2012,1
"BHS","ph",2012,1
"BHS","tour",2012,1
"BRA","cf",2012,1
"BRA","ph",2012,1
"BRA","tour",2012,1
"CAN","cf",2012,1
"CAN","ph",2012,1
"CAN","tour",2012,1
"CHN","cf",2012,1
"CHN","ph",2012,1
"CHN","tour",2012,1
"CHN","tran",2012,1
"CIV","cf",2012,1
"CIV","ph",2012,1
"CIV","tour",2012,1
"CIV","tran",2012,1
"CRI","cf",2012,1
"CRI","ph",2012,1
"CRI","sb",2012,1
"CRI","tour",2012,1
"CRI","tran",2012,1
"CYP","tour",2012,1
"CYP","tran",2012,1
"DEU","cf",2012,1
"DEU","ph",2012,1
"DEU","sb",2012,1
"DEU","tour",2012,1
"DEU","tran",2012,1
"DNK","sb",2012,1
"DNK","tour",2012,1
"DNK","tran",2012,1
"FIN","sb",2012,1
"FIN","tour",2012,1
"FIN","tran",2012,1
"GBR","cf",2012,1
"GBR","ph",2012,1
"GBR","sb",2012,1
"GBR","tour",2012,1
"GBR","tran",2012,1
"GUY","tour",2012,1
"IND","tour",2012,1
"ITA","ph",2012,1
"ITA","sb",2012,1
"ITA","tour",2012,1
"ITA","tran",2012,1
"JOR","ph",2012,1
"JOR","sb",2012,1
"JOR","tour",2012,1
"JOR","tran",2012,1
"JPN","tour",2012,1
"KHM","tour",2012,1
"KOR","cf",2012,1
"KOR","ph",2012,1
"KOR","sb",2012,1
"KOR","tour",2012,1
"KOR","tran",2012,1
"LTU","ph",2012,1
"LTU","sb",2012,1
"LTU","tour",2012,1
"LTU","tran",2012,1
"LVA","cf",2012,1
"LVA","ph",2012,1
"LVA","sb",2012,1
"LVA","tour",2012,1
"LVA","tran",2012,1
"MDG","tour",2012,1
"MEX","cf",2012,1
"MEX","ph",2012,1
"MEX","tour",2012,1
"MEX","tran",2012,1
"MMR","cf",2012,1
"MMR","ph",2012,1
"MMR","sb",2012,1
"MMR","tour",2012,1
"MMR","tran",2012,1
"MUS","cf",2012,1
"MUS","ph",2012,1
"MUS","tour",2012,1
"NIC","ph",2012,1
"NIC","tour",2012,1
"NOR","tour",2012,1
"NOR","tran",2012,1
"PAK","cf",2012,1
"PAK","ph",2012,1
"PAK","sb",2012,1
"PAK","tour",2012,1
"PAK","tran",2012,1
"PER","cf",2012,1
"PER","sb",2012,1
"PER","tour",2012,1
"PER","tran",2012,1
"PHL","ph",2012,1
"PHL","sb",2012,1
"PHL","tour",2012,1
"PHL","tran",2012,1
"POL","cf",2012,1
"POL","ph",2012,1
"POL","sb",2012,1
"POL","tour",2012,1
"POL","tran",2012,1
"PRI","tour",2012,1
"PRT","cf",2012,1
"PRT","ph",2012,1
"PRT","tour",2012,1
"PRT","tran",2012,1
"ROU","cf",2012,1
"ROU","ph",2012,1
"ROU","sb",2012,1
"ROU","tour",2012,1
"ROU","tran",2012,1
"RUS","tour",2012,1
"RUS","tran",2012,1
"SGP","ph",2012,1
"SGP","tour",2012,1
"SGP","tran",2012,1
"SHN","cf",2012,1
"SHN","tour",2012,1
"SLV","ph",2012,1
"SLV","tour",2012,1
"THA","ph",2012,1
"THA","sb",2012,1
"THA","tour",2012,1
"Trindade","cf",2012,1
"Trindade","ph",2012,1
"Trindade","tour",2012,1
"USA","ph",2012,1
"USA","sb",2012,1
"USA","tour",2012,1
"USA","tran",2012,1
"VCT","ph",2012,1
"VCT","tour",2012,1
"VEN","tour",2012,1
"VIR","tour",2012,1
