"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"AO","ao_access","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","value","value","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_mora_s4_2013a.csv",TRUE,"ao_access.csv","eez2013/layers/ao_access.csv"
"AO","ao_need","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","value","value","../ohiprep/Global/WorldBank-Statistics_v2012/data/rgn_wb_gdppcppp_rescaled_2013a.csv",TRUE,"ao_need.csv","eez2013/layers/ao_need.csv"
"CW","cw_coastalpopn_trend","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","trend","trend score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-CoastalPopulation_v2013/data/rgn_popn5yrtrend_inland25mi_2008to2013.csv",TRUE,"cw_coastalpopn_trend.csv","eez2013/layers/cw_coastalpopn_trend.csv"
"CW","cw_fertilizer_trend","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","trend.score","trend score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_CW_trends_v2013a/data/GL-NCEAS_CW_Fertilizers_trend_v2013a.csv",TRUE,"cw_fertilizer_trend.csv","eez2013/layers/cw_fertilizer_trend.csv"
"CW","cw_pathogen_trend","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities","trend","trend score","../ohiprep/Global/WHOUNICEF-Sanitation_v2012/data/pathogens_popdensity25km_trend_2013a.csv",TRUE,"cw_pathogen_trend.csv","eez2013/layers/cw_pathogen_trend.csv"
"CW","cw_pesticide_trend","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","trend.score","trend score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_CW_trends_v2013a/data/GL-NCEAS_CW_Pesticides_trend_v2013a.csv",TRUE,"cw_pesticide_trend.csv","eez2013/layers/cw_pesticide_trend.csv"
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"b_bmsy","B / B_msy","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_FIS_v2013a/RevisingFIS/data//fnk_fis_b_bmsy_lyr.csv",TRUE,"fis_b_bmsy.csv","eez2013/layers/fis_b_bmsy.csv"
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","mean_catch","metric tons","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_FIS_v2013a/RevisingFIS/data//snk_fis_meancatch_lyr.csv",TRUE,"fis_meancatch.csv","eez2013/layers/fis_meancatch.csv"
"FIS","fis_proparea_saup2rgn","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","prop_area","proportion of area","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_FIS_v2013a/RevisingFIS/data//snk_fis_proparea_saup2rgn_lyr.csv",TRUE,"fis_proparea_saup2rgn.csv","eez2013/layers/fis_proparea_saup2rgn.csv"
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","w_fis","value","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS_FIS_v2013a/GL_FP_wildcaught_weight_v2013a_lyr.csv",TRUE,"fp_wildcaught_weight.csv","eez2013/layers/fp_wildcaught_weight.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","km2","km^2","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/hab_habtitat_extent_NewSeaIce.csv",TRUE,"hab_extent.csv","eez2013/layers/hab_extent.csv"
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","health","value","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/hab_habitat_health.csv",TRUE,"hab_health.csv","eez2013/layers/hab_health.csv"
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","trend","trend score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/hab_habitat_trend.csv",TRUE,"hab_trend.csv","eez2013/layers/hab_trend.csv"
"ICO","ico_spp_extinction_status","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","category","category","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-IconicSpecies_v2013/data/ico_spp_extinction_status.csv",TRUE,"ico_spp_extinction_status.csv","eez2013/layers/ico_spp_extinction_status.csv"
"ICO","ico_spp_popn_trend","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","popn_trend","trend score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-IconicSpecies_v2013/data/ico_spp_popn_trend.csv",TRUE,"ico_spp_popn_trend.csv","eez2013/layers/ico_spp_popn_trend.csv"
"LE","le_gdp",,"GDP","gapfilled","usd","2010 USD","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_gdp.csv",TRUE,"le_gdp.csv","eez2013/layers/le_gdp.csv"
"LE","le_gdp_pc_ppp","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","usd","USD","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_cntry_gdp_pc_ppp_2013a.csv",TRUE,"le_gdp_pc_ppp.csv","eez2013/layers/le_gdp_pc_ppp.csv"
"LE","le_jobs_cur_adj_value","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_cur_adj_value.csv",TRUE,"le_jobs_cur_adj_value.csv","eez2013/layers/le_jobs_cur_adj_value.csv"
"LE","le_jobs_cur_base_value","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_cur_base_value.csv",TRUE,"le_jobs_cur_base_value.csv","eez2013/layers/le_jobs_cur_base_value.csv"
"LE","le_jobs_ref_adj_value","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_ref_adj_value.csv",TRUE,"le_jobs_ref_adj_value.csv","eez2013/layers/le_jobs_ref_adj_value.csv"
"LE","le_jobs_ref_base_value","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_ref_base_value.csv",TRUE,"le_jobs_ref_base_value.csv","eez2013/layers/le_jobs_ref_base_value.csv"
