"goal","dimension","region_id","score","old_score","change"
"BD","future",0,96.16,95.87,0.289999999999992
"BD","future",248100,96.93,96.24,0.690000000000012
"BD","future",248200,97.75,97.57,0.180000000000007
"BD","future",248300,83.21,83.46,-0.25
"BD","future",248400,93.27,94.11,-0.840000000000003
"BD","future",248500,99.88,99.12,0.759999999999991
"BD","future",248600,96.12,95.95,0.170000000000002
"BD","future",258410,96.95,96.56,0.390000000000001
"BD","future",258420,100,100,0
"BD","future",258431,95.17,95.21,-0.039999999999992
"BD","future",258432,94.59,94.32,0.27000000000001
"BD","future",258441,93.47,93.49,-0.019999999999996
"BD","future",258442,92.99,92.76,0.22999999999999
"BD","future",258510,78.82,80.11,-1.29000000000001
"BD","future",258520,82.43,83.06,-0.629999999999995
"BD","future",258600,80.06,80.23,-0.170000000000002
"BD","future",258700,77.05,78.31,-1.26000000000001
"BD","future",288100,97.7,96.87,0.829999999999998
"BD","future",288200,96.8,96.53,0.269999999999996
"BD","future",288300,98.63,98.14,0.489999999999995
"BD","pressures",248100,NA,NA,NA
"BD","pressures",248200,NA,NA,NA
"BD","pressures",248300,NA,NA,NA
"BD","pressures",248400,NA,NA,NA
"BD","pressures",248500,NA,NA,NA
"BD","pressures",248600,NA,NA,NA
"BD","pressures",258410,NA,NA,NA
"BD","pressures",258420,NA,NA,NA
"BD","pressures",258431,NA,NA,NA
"BD","pressures",258432,NA,NA,NA
"BD","pressures",258441,NA,NA,NA
"BD","pressures",258442,NA,NA,NA
"BD","pressures",258510,NA,NA,NA
"BD","pressures",258520,NA,NA,NA
"BD","pressures",258600,NA,NA,NA
"BD","pressures",258700,NA,NA,NA
"BD","pressures",288100,NA,NA,NA
"BD","pressures",288200,NA,NA,NA
"BD","pressures",288300,NA,NA,NA
"BD","resilience",248100,NA,NA,NA
"BD","resilience",248200,NA,NA,NA
"BD","resilience",248300,NA,NA,NA
"BD","resilience",248400,NA,NA,NA
"BD","resilience",248500,NA,NA,NA
"BD","resilience",248600,NA,NA,NA
"BD","resilience",258410,NA,NA,NA
"BD","resilience",258420,NA,NA,NA
"BD","resilience",258431,NA,NA,NA
"BD","resilience",258432,NA,NA,NA
"BD","resilience",258441,NA,NA,NA
"BD","resilience",258442,NA,NA,NA
"BD","resilience",258510,NA,NA,NA
"BD","resilience",258520,NA,NA,NA
"BD","resilience",258600,NA,NA,NA
"BD","resilience",258700,NA,NA,NA
"BD","resilience",288100,NA,NA,NA
"BD","resilience",288200,NA,NA,NA
"BD","resilience",288300,NA,NA,NA
"BD","score",0,93.78,93.63,0.150000000000006
"BD","score",248100,93.18,92.83,0.350000000000009
"BD","score",248200,94.27,94.18,0.0899999999999892
"BD","score",248300,82.28,82.41,-0.129999999999995
"BD","score",248400,91.4,91.82,-0.419999999999987
"BD","score",248500,96.08,95.7,0.379999999999995
"BD","score",248600,93.87,93.78,0.0900000000000034
"BD","score",258410,94.75,94.56,0.189999999999998
"BD","score",258420,96.75,96.75,0
"BD","score",258431,93.39,93.41,-0.019999999999996
"BD","score",258432,92.61,92.48,0.129999999999995
"BD","score",258441,92.09,92.1,-0.00999999999999091
"BD","score",258442,91.72,91.61,0.109999999999999
"BD","score",258510,79.27,79.91,-0.640000000000001
"BD","score",258520,81.31,81.63,-0.319999999999993
"BD","score",258600,79.72,79.81,-0.0900000000000034
"BD","score",258700,77.68,78.31,-0.629999999999995
"BD","score",288100,95.13,94.71,0.420000000000002
"BD","score",288200,94.36,94.22,0.140000000000001
"BD","score",288300,95.85,95.6,0.25
"BD","status",0,91.39,91.39,0
"BD","status",248100,89.43,89.43,0
"BD","status",248200,90.78,90.78,0
"BD","status",248300,81.35,81.35,0
"BD","status",248400,89.53,89.53,0
"BD","status",248500,92.28,92.28,0
"BD","status",248600,91.61,91.61,0
"BD","status",258410,92.55,92.55,0
"BD","status",258420,93.5,93.5,0
"BD","status",258431,91.61,91.61,0
"BD","status",258432,90.63,90.63,0
"BD","status",258441,90.72,90.72,0
"BD","status",258442,90.45,90.45,0
"BD","status",258510,79.71,79.71,0
"BD","status",258520,80.19,80.19,0
"BD","status",258600,79.39,79.39,0
"BD","status",258700,78.3,78.3,0
"BD","status",288100,92.55,92.55,0
"BD","status",288200,91.92,91.92,0
"BD","status",288300,93.07,93.07,0
"BD","trend",248100,0.01,0.01,0
"BD","trend",248200,-0.07,-0.07,0
"BD","trend",248300,-0.13,-0.13,0
"BD","trend",248400,-0.05,-0.05,0
"BD","trend",248500,0.05,0.05,0
"BD","trend",248600,-0.03,-0.03,0
"BD","trend",258410,-0.01,-0.01,0
"BD","trend",258420,0.05,0.05,0
"BD","trend",258431,-0.04,-0.04,0
"BD","trend",258432,-0.08,-0.08,0
"BD","trend",258441,0.24,0.24,0
"BD","trend",258442,0.16,0.16,0
"BD","trend",258510,-0.2,-0.2,0
"BD","trend",258520,-0.16,-0.16,0
"BD","trend",258600,-0.19,-0.19,0
"BD","trend",258700,-0.2,-0.2,0
"BD","trend",288100,-0.05,-0.05,0
"BD","trend",288200,0.01,0.01,0
"BD","trend",288300,0.07,0.07,0
"CP","future",0,99.52,99.22,0.299999999999997
"CP","future",248100,97.74,93.96,3.78
"CP","future",248200,NA,NA,NA
"CP","future",248300,NA,NA,NA
"CP","future",248400,NA,NA,NA
"CP","future",248500,100,100,0
"CP","future",248600,100,100,0
"CP","future",258410,100,100,0
"CP","future",258420,100,100,0
"CP","future",258431,NA,NA,NA
"CP","future",258432,NA,NA,NA
"CP","future",258441,NA,NA,NA
"CP","future",258442,NA,NA,NA
"CP","future",258510,NA,NA,NA
"CP","future",258520,NA,NA,NA
"CP","future",258600,NA,NA,NA
"CP","future",258700,NA,NA,NA
"CP","future",288100,100,100,0
"CP","future",288200,100,100,0
"CP","future",288300,95.21,92.94,2.27
"CP","pressures",248100,13.33,26.44,-13.11
"CP","pressures",248200,13.52,16.65,-3.13
"CP","pressures",248300,19.87,6.43,13.44
"CP","pressures",248400,34.33,8.33,26
"CP","pressures",248500,7.6,19.79,-12.19
"CP","pressures",248600,18.41,22.3,-3.89
"CP","pressures",258410,27.63,39.62,-11.99
"CP","pressures",258420,10.71,24.87,-14.16
