"region","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Tristan da Cunha",56,100,0,50,100,NA,NA,25,NA,NA,NA,62,62,NA,0,0,0,NA,100
"Jersey",55,100,0,50,100,50,50,25,NA,NA,NA,NA,67,67,NA,0,0,NA,100
"Guernsey",55,100,0,50,100,50,50,25,NA,NA,NA,NA,67,67,NA,0,0,NA,100
"Oecussi Ambeno",54,100,0,50,100,50,50,25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Montserrat",53,50,0,50,100,50,50,25,NA,NA,NA,97,97,NA,0,0,0,NA,100
"Andaman and Nicobar",51,50,0,50,100,50,50,25,NA,NA,NA,83,83,NA,NA,0,0,NA,100
"Ascension",51,100,0,50,100,NA,NA,25,NA,NA,NA,31,31,NA,0,0,0,NA,100
"Christmas Island",48,50,0,50,100,50,50,25,NA,NA,NA,60,60,NA,0,0,0,NA,100
"Djibouti",48,50,0,33,67,50,50,0,NA,NA,NA,97,97,NA,0,0,0,NA,100
"Mayotte",47,50,0,50,100,50,50,25,NA,NA,NA,49,49,75,0,0,0,NA,100
"Pitcairn",47,100,0,50,100,50,NA,25,NA,NA,NA,4,4,NA,0,0,0,NA,100
"Johnston Atoll",47,100,0,50,100,50,NA,0,NA,NA,NA,30,30,NA,0,0,0,NA,100
"Wallis and Futuna",47,100,0,50,100,50,NA,25,NA,NA,NA,3,3,NA,0,0,0,NA,100
"Cocos Islands",46,50,0,50,100,50,50,25,NA,NA,NA,45,45,NA,0,0,0,NA,100
"Norfolk Island",46,50,0,50,100,NA,NA,25,NA,NA,NA,52,52,NA,0,0,0,NA,100
"Northern Mariana Islands and Guam",46,50,0,50,100,50,50,0,NA,NA,NA,70,71,75,0,0,0,NA,100
"Saint Helena",46,100,0,50,100,NA,NA,25,NA,NA,NA,2,2,NA,0,0,0,NA,100
"Turks and Caicos Islands",46,50,0,50,100,50,50,25,NA,NA,NA,93,93,50,0,0,0,0,100
"Line Group",46,50,0,50,100,50,NA,25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"American Samoa",46,50,0,50,100,50,50,0,NA,NA,NA,65,65,NA,0,0,0,NA,100
"Phoenix Group",46,50,0,50,100,50,NA,25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Northern Saint-Martin",46,50,0,50,100,50,50,25,NA,NA,NA,NA,NA,NA,0,0,0,NA,100
"Curacao",46,50,0,50,100,50,50,25,NA,NA,NA,NA,NA,100,0,0,0,NA,100
"Canary Islands",45,50,0,50,100,50,50,25,NA,NA,NA,34,34,NA,NA,0,0,NA,100
"Guadeloupe and Martinique",45,50,0,50,100,50,50,25,NA,NA,NA,82,82,50,0,0,0,NA,50
"Wake Island",44,50,0,50,100,50,NA,0,NA,NA,NA,56,56,NA,0,0,0,NA,100
"Gibraltar",44,100,0,0,0,NA,NA,25,NA,NA,NA,36,36,NA,0,0,0,NA,100
"Madeira",43,50,0,50,100,NA,NA,25,NA,NA,NA,32,32,NA,NA,0,0,NA,100
"East Timor",43,50,0,25,50,47,48,0,NA,NA,NA,74,74,50,0,0,0,NA,100
"Glorioso Islands",42,50,0,50,100,50,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Juan de Nova Island",42,50,0,50,100,50,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Bassas da India",42,50,0,50,100,50,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Ile Europa",42,50,0,50,100,50,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100
"Sint Maarten",42,50,0,50,100,50,50,25,NA,NA,NA,49,49,NA,0,0,0,0,100
"Azores",41,50,0,50,100,NA,NA,25,NA,NA,NA,23,23,NA,NA,0,0,NA,100
"Bermuda",41,50,0,50,100,50,50,25,NA,NA,NA,52,52,NA,0,0,0,NA,50
"Palmyra Atoll",41,50,0,50,100,50,NA,0,NA,NA,NA,40,40,NA,0,0,0,NA,100
"Bonaire",41,50,0,50,100,50,50,25,NA,NA,NA,NA,NA,100,0,0,0,0,100
"Saba",41,50,0,50,100,50,50,25,NA,NA,NA,NA,NA,NA,0,0,0,0,100
"Sint Eustatius",41,50,0,50,100,50,50,25,NA,NA,NA,NA,NA,NA,0,0,0,0,100
"Aruba",41,50,0,50,100,50,50,0,NA,NA,NA,77,77,100,0,0,0,NA,50
"Anguilla",40,50,0,50,100,50,50,0,NA,NA,NA,67,67,NA,0,0,0,NA,50
"British Virgin Islands",39,50,0,50,100,50,50,0,NA,NA,NA,63,63,NA,0,0,0,NA,50
"Tokelau",39,50,0,50,100,50,50,0,NA,NA,NA,13,13,NA,0,0,0,NA,100
"Monaco",39,100,0,0,NA,NA,NA,0,NA,NA,NA,34,34,NA,0,0,0,NA,100
"Falkland Islands",38,50,0,50,100,NA,NA,25,NA,NA,NA,1,1,100,0,0,0,NA,100
"Antigua and Barbuda",38,0,0,38,75,50,50,25,NA,NA,NA,91,91,NA,0,0,0,NA,50
"Niue",38,50,0,50,100,50,50,0,NA,NA,NA,6,6,NA,0,0,0,NA,100
"Somalia",37,50,0,17,33,49,0,25,NA,NA,NA,89,89,NA,0,0,0,0,100
"Sudan",37,0,0,25,50,50,50,25,NA,NA,NA,87,87,NA,0,0,0,0,100
"Cayman Islands",37,50,0,50,100,50,50,0,NA,NA,NA,48,48,NA,0,0,0,NA,50
"Jordan",37,50,0,50,100,50,50,0,NA,NA,NA,94,94,NA,0,0,0,NA,0
"Tuvalu",36,50,0,25,50,50,NA,25,NA,NA,NA,1,1,50,0,0,0,NA,100
"Ile Tromelin",36,50,0,50,100,50,NA,0,NA,NA,NA,3,3,NA,NA,0,0,NA,100
"Howland Island and Baker Island",36,50,0,50,100,50,NA,0,NA,NA,NA,5,5,NA,0,0,0,NA,100
"Eritrea",35,0,0,25,50,50,46,0,NA,NA,NA,91,91,50,0,0,0,0,100
"Western Sahara",35,50,0,0,0,NA,NA,25,NA,NA,NA,37,37,NA,0,0,0,NA,100
"French Polynesia",35,50,0,50,100,50,50,0,NA,NA,NA,12,19,69,0,0,0,0,100
"Samoa",35,0,0,50,100,50,50,0,NA,NA,NA,64,64,50,0,0,0,0,100
"Cook Islands",35,50,0,50,100,50,50,0,NA,NA,NA,19,19,100,0,0,0,0,100
"Marshall Islands",34,50,0,33,67,50,50,0,NA,NA,NA,2,2,NA,0,0,0,21,100
"Saint Kitts and Nevis",34,0,0,38,75,50,50,25,NA,NA,NA,59,59,NA,0,0,0,NA,50
"French Guiana",34,50,0,0,0,0,0,25,NA,NA,NA,98,98,NA,0,0,0,NA,100
"Macquarie Island",33,50,0,50,100,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,100
"Clipperton Island",33,100,0,0,0,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,0,NA,100
"Saint Vincent and the Grenadines",33,0,0,33,67,50,50,25,NA,NA,NA,81,81,NA,0,0,0,11,50
"Faeroe Islands",33,50,0,50,100,NA,NA,25,NA,NA,NA,3,6,25,0,0,0,1,100
"Iraq",33,50,0,25,50,50,50,0,NA,NA,NA,43,43,NA,0,0,0,NA,50
"Bosnia and Herzegovina",33,50,0,0,0,NA,NA,0,NA,NA,NA,24,49,60,0,0,0,NA,100
"Nauru",32,50,0,25,50,50,NA,0,NA,NA,NA,1,1,50,0,0,0,NA,100
"British Indian Ocean Territory",32,50,0,25,50,50,NA,0,NA,NA,NA,2,2,NA,0,0,0,NA,100
"Amsterdam Island and Saint Paul Island",32,NA,0,50,100,NA,NA,25,NA,NA,NA,51,51,NA,0,0,0,NA,NA
