"rgn_id","habitat","variable","gap_fill"
1,"mangrove","extent",NA
2,"mangrove","extent",NA
3,"mangrove","extent",NA
5,"mangrove","extent","0"
6,"mangrove","extent","0"
7,"mangrove","extent","0"
8,"mangrove","extent","0"
9,"mangrove","extent","0"
10,"mangrove","extent",NA
11,"mangrove","extent",NA
12,"mangrove","extent",NA
13,"mangrove","extent",NA
14,"mangrove","extent","0"
15,"mangrove","extent","0"
16,"mangrove","extent","0"
17,"mangrove","extent","0"
18,"mangrove","extent","0"
19,"mangrove","extent",NA
20,"mangrove","extent",NA
24,"mangrove","extent","0"
25,"mangrove","extent","0"
26,"mangrove","extent","0"
28,"mangrove","extent","0"
29,"mangrove","extent","0"
30,"mangrove","extent",NA
31,"mangrove","extent","0"
32,"mangrove","extent",NA
33,"mangrove","extent",NA
34,"mangrove","extent",NA
35,"mangrove","extent",NA
36,"mangrove","extent",NA
37,"mangrove","extent",NA
38,"mangrove","extent",NA
39,"mangrove","extent","0"
40,"mangrove","extent","0"
41,"mangrove","extent","0"
42,"mangrove","extent","0"
43,"mangrove","extent","0"
44,"mangrove","extent","0"
45,"mangrove","extent","0"
46,"mangrove","extent","0"
47,"mangrove","extent","0"
48,"mangrove","extent","0"
49,"mangrove","extent","0"
50,"mangrove","extent","0"
51,"mangrove","extent",NA
52,"mangrove","extent","0"
53,"mangrove","extent","0"
54,"mangrove","extent","0"
56,"mangrove","extent",NA
57,"mangrove","extent",NA
58,"mangrove","extent",NA
61,"mangrove","extent",NA
62,"mangrove","extent","0"
63,"mangrove","extent",NA
64,"mangrove","extent",NA
65,"mangrove","extent","0"
66,"mangrove","extent","0"
67,"mangrove","extent",NA
77,"mangrove","extent",NA
79,"mangrove","extent",NA
84,"mangrove","extent",NA
85,"mangrove","extent",NA
86,"mangrove","extent",NA
88,"mangrove","extent",NA
92,"mangrove","extent",NA
96,"mangrove","extent","0"
97,"mangrove","extent","0"
98,"mangrove","extent","0"
99,"mangrove","extent","0"
100,"mangrove","extent",NA
101,"mangrove","extent",NA
102,"mangrove","extent","0"
103,"mangrove","extent",NA
104,"mangrove","extent","0"
106,"mangrove","extent","0"
107,"mangrove","extent",NA
108,"mangrove","extent","0"
110,"mangrove","extent","0"
111,"mangrove","extent","0"
112,"mangrove","extent","0"
113,"mangrove","extent","0"
114,"mangrove","extent","0"
115,"mangrove","extent","0"
116,"mangrove","extent","0"
117,"mangrove","extent","0"
118,"mangrove","extent","0"
119,"mangrove","extent","0"
120,"mangrove","extent","0"
121,"mangrove","extent",NA
122,"mangrove","extent","0"
123,"mangrove","extent",NA
124,"mangrove","extent","0"
125,"mangrove","extent","0"
126,"mangrove","extent","0"
127,"mangrove","extent","0"
129,"mangrove","extent","0"
130,"mangrove","extent","0"
131,"mangrove","extent","0"
132,"mangrove","extent","0"
133,"mangrove","extent","0"
134,"mangrove","extent","0"
135,"mangrove","extent","0"
136,"mangrove","extent","0"
137,"mangrove","extent","0"
138,"mangrove","extent","0"
139,"mangrove","extent","0"
140,"mangrove","extent","0"
146,"mangrove","extent",NA
147,"mangrove","extent",NA
148,"mangrove","extent",NA
149,"mangrove","extent",NA
150,"mangrove","extent",NA
151,"mangrove","extent",NA
152,"mangrove","extent",NA
153,"mangrove","extent",NA
154,"mangrove","extent",NA
155,"mangrove","extent",NA
156,"mangrove","extent",NA
157,"mangrove","extent",NA
158,"mangrove","extent",NA
159,"mangrove","extent",NA
161,"mangrove","extent",NA
162,"mangrove","extent","0"
163,"mangrove","extent","0"
164,"mangrove","extent","0"
166,"mangrove","extent","0"
167,"mangrove","extent","0"
168,"mangrove","extent","0"
169,"mangrove","extent","0"
171,"mangrove","extent","0"
172,"mangrove","extent",NA
173,"mangrove","extent",NA
190,"mangrove","extent","0"
191,"mangrove","extent","0"
192,"mangrove","extent",NA
193,"mangrove","extent","0"
194,"mangrove","extent","0"
195,"mangrove","extent","0"
