"scenario","goal","dimension","region_id","value"
2012,"AO","likely_future_state",1,96.1
2012,"AO","likely_future_state",2,96.6
2012,"AO","likely_future_state",3,96.27
2012,"AO","likely_future_state",4,98.11
2012,"AO","likely_future_state",5,67.36
2012,"AO","likely_future_state",6,47.2
2012,"AO","likely_future_state",7,45.26
2012,"AO","likely_future_state",8,52.32
2012,"AO","likely_future_state",9,46.71
2012,"AO","likely_future_state",10,48.08
2012,"AO","likely_future_state",11,54.59
2012,"AO","likely_future_state",12,100
2012,"AO","likely_future_state",13,88.64
2012,"AO","likely_future_state",14,73.84
2012,"AO","likely_future_state",15,61.04
2012,"AO","likely_future_state",16,99.71
2012,"AO","likely_future_state",17,51.79
2012,"AO","likely_future_state",18,47.72
2012,"AO","likely_future_state",19,47.36
2012,"AO","likely_future_state",20,89.24
2012,"AO","likely_future_state",21,51.15
2012,"AO","likely_future_state",24,63.97
2012,"AO","likely_future_state",25,71.96
2012,"AO","likely_future_state",26,55.69
2012,"AO","likely_future_state",28,43.3
2012,"AO","likely_future_state",29,52.97
2012,"AO","likely_future_state",30,51.74
2012,"AO","likely_future_state",31,57.42
2012,"AO","likely_future_state",32,51.15
2012,"AO","likely_future_state",33,51.72
2012,"AO","likely_future_state",34,51.79
2012,"AO","likely_future_state",35,51.73
2012,"AO","likely_future_state",36,51.67
2012,"AO","likely_future_state",37,55.86
2012,"AO","likely_future_state",38,54.97
2012,"AO","likely_future_state",39,49.48
2012,"AO","likely_future_state",40,48.27
2012,"AO","likely_future_state",41,45.4
2012,"AO","likely_future_state",42,44.37
2012,"AO","likely_future_state",43,61.58
2012,"AO","likely_future_state",44,40.75
2012,"AO","likely_future_state",45,56.72
2012,"AO","likely_future_state",46,53.67
2012,"AO","likely_future_state",47,57.19
2012,"AO","likely_future_state",48,68.43
2012,"AO","likely_future_state",49,49.15
2012,"AO","likely_future_state",50,69.85
2012,"AO","likely_future_state",51,89.56
2012,"AO","likely_future_state",52,68.71
2012,"AO","likely_future_state",53,58.51
2012,"AO","likely_future_state",54,73.63
2012,"AO","likely_future_state",55,74.91
2012,"AO","likely_future_state",56,49.62
2012,"AO","likely_future_state",57,75.31
2012,"AO","likely_future_state",58,74.59
2012,"AO","likely_future_state",59,83.78
2012,"AO","likely_future_state",60,76.04
2012,"AO","likely_future_state",61,71.39
2012,"AO","likely_future_state",62,62.71
2012,"AO","likely_future_state",63,47.77
2012,"AO","likely_future_state",64,52.79
2012,"AO","likely_future_state",65,59.91
2012,"AO","likely_future_state",66,53.39
2012,"AO","likely_future_state",67,44.4
2012,"AO","likely_future_state",68,79.16
2012,"AO","likely_future_state",69,72.63
2012,"AO","likely_future_state",70,82.91
2012,"AO","likely_future_state",71,68.8
2012,"AO","likely_future_state",72,70.07
2012,"AO","likely_future_state",73,75.25
2012,"AO","likely_future_state",74,70.92
2012,"AO","likely_future_state",75,62.87
2012,"AO","likely_future_state",76,75.09
2012,"AO","likely_future_state",77,76
2012,"AO","likely_future_state",78,65.49
2012,"AO","likely_future_state",79,81.47
2012,"AO","likely_future_state",80,73.6
2012,"AO","likely_future_state",81,85.2
2012,"AO","likely_future_state",82,72.41
2012,"AO","likely_future_state",84,68.64
2012,"AO","likely_future_state",85,93.97
2012,"AO","likely_future_state",86,94.4
2012,"AO","likely_future_state",88,94.01
2012,"AO","likely_future_state",89,
2012,"AO","likely_future_state",90,
2012,"AO","likely_future_state",91,
2012,"AO","likely_future_state",92,
2012,"AO","likely_future_state",93,
2012,"AO","likely_future_state",94,
2012,"AO","likely_future_state",95,93.51
2012,"AO","likely_future_state",96,60.72
2012,"AO","likely_future_state",97,42.96
2012,"AO","likely_future_state",98,42.27
2012,"AO","likely_future_state",99,44.27
2012,"AO","likely_future_state",100,52.77
2012,"AO","likely_future_state",101,91.69
2012,"AO","likely_future_state",102,76.28
2012,"AO","likely_future_state",103,44.81
2012,"AO","likely_future_state",104,57.54
2012,"AO","likely_future_state",105,
2012,"AO","likely_future_state",106,46.52
2012,"AO","likely_future_state",107,91.75
2012,"AO","likely_future_state",108,90.03
2012,"AO","likely_future_state",110,80.49
2012,"AO","likely_future_state",111,78.99
2012,"AO","likely_future_state",112,82.3
2012,"AO","likely_future_state",113,77.54
2012,"AO","likely_future_state",114,49.86
2012,"AO","likely_future_state",115,65.69
2012,"AO","likely_future_state",116,81.91
2012,"AO","likely_future_state",117,78.08
2012,"AO","likely_future_state",118,77.91
2012,"AO","likely_future_state",119,78.6
