spp_group_text,n_spp,quad,n_quad,pct_quad,pct_q1,quad_name
Angelfish,72,q1,13,0.18055555555555555,0.18055555555555555,well-aligned
Bonefish/Tarpon,12,q1,6,0.5,0.5,well-aligned
Butterflyfish,116,q1,20,0.1724137931034483,0.1724137931034483,well-aligned
Combtooth Blennies,269,q1,34,0.12639405204460966,0.12639405204460966,well-aligned
Cone snails,126,q1,5,0.03968253968253968,0.03968253968253968,well-aligned
Corals,394,q1,87,0.22081218274111675,0.22081218274111675,well-aligned
Damselfish,48,q1,9,0.1875,0.1875,well-aligned
Groupers,136,q1,55,0.40441176470588236,0.40441176470588236,well-aligned
Lobsters,158,q1,29,0.18354430379746836,0.18354430379746836,well-aligned
Marine Mammals,105,q1,76,0.7238095238095238,0.7238095238095238,well-aligned
Pufferfish,113,q1,20,0.17699115044247787,0.17699115044247787,well-aligned
Reptiles,27,q1,8,0.2962962962962963,0.2962962962962963,well-aligned
Seabreams/Porgies,92,q1,40,0.43478260869565216,0.43478260869565216,well-aligned
Sea Cucumbers,44,q1,4,0.09090909090909091,0.09090909090909091,well-aligned
Surgeons/Tangs/Unicornfish,77,q1,9,0.11688311688311688,0.11688311688311688,well-aligned
Tunas/Billfish,59,q1,28,0.4745762711864407,0.4745762711864407,well-aligned
Wrasses,472,q1,79,0.1673728813559322,0.1673728813559322,well-aligned
Mangroves,2,q1,0,0,0,well-aligned
Sea grasses,6,q1,0,0,0,well-aligned
Terr. Mammals,2,q1,0,0,0,well-aligned
Angelfish,72,q2,9,0.125,0.18055555555555555,dist-aligned
Bonefish/Tarpon,12,q2,3,0.25,0.5,dist-aligned
Butterflyfish,116,q2,28,0.2413793103448276,0.1724137931034483,dist-aligned
Combtooth Blennies,269,q2,43,0.15985130111524162,0.12639405204460966,dist-aligned
Cone snails,126,q2,76,0.6031746031746031,0.03968253968253968,dist-aligned
Corals,394,q2,233,0.5913705583756346,0.22081218274111675,dist-aligned
Damselfish,48,q2,14,0.2916666666666667,0.1875,dist-aligned
Groupers,136,q2,31,0.22794117647058823,0.40441176470588236,dist-aligned
Lobsters,158,q2,28,0.17721518987341772,0.18354430379746836,dist-aligned
Marine Mammals,105,q2,23,0.21904761904761905,0.7238095238095238,dist-aligned
Pufferfish,113,q2,25,0.22123893805309736,0.17699115044247787,dist-aligned
Reptiles,27,q2,10,0.37037037037037035,0.2962962962962963,dist-aligned
Seabreams/Porgies,92,q2,21,0.22826086956521738,0.43478260869565216,dist-aligned
Sea Cucumbers,44,q2,25,0.5681818181818182,0.09090909090909091,dist-aligned
Surgeons/Tangs/Unicornfish,77,q2,32,0.4155844155844156,0.11688311688311688,dist-aligned
Tunas/Billfish,59,q2,18,0.3050847457627119,0.4745762711864407,dist-aligned
Wrasses,472,q2,88,0.1864406779661017,0.1673728813559322,dist-aligned
Mangroves,2,q2,2,1,0,dist-aligned
Sea grasses,6,q2,6,1,0,dist-aligned
Terr. Mammals,2,q2,0,0,0,dist-aligned
Angelfish,72,q3,30,0.4166666666666667,0.18055555555555555,area-aligned
Bonefish/Tarpon,12,q3,1,0.08333333333333333,0.5,area-aligned
Butterflyfish,116,q3,50,0.43103448275862066,0.1724137931034483,area-aligned
Combtooth Blennies,269,q3,113,0.4200743494423792,0.12639405204460966,area-aligned
Cone snails,126,q3,20,0.15873015873015872,0.03968253968253968,area-aligned
Corals,394,q3,53,0.13451776649746192,0.22081218274111675,area-aligned
Damselfish,48,q3,18,0.375,0.1875,area-aligned
Groupers,136,q3,36,0.2647058823529412,0.40441176470588236,area-aligned
Lobsters,158,q3,42,0.26582278481012656,0.18354430379746836,area-aligned
Marine Mammals,105,q3,4,0.0380952380952381,0.7238095238095238,area-aligned
Pufferfish,113,q3,45,0.39823008849557523,0.17699115044247787,area-aligned
Reptiles,27,q3,8,0.2962962962962963,0.2962962962962963,area-aligned
Seabreams/Porgies,92,q3,18,0.1956521739130435,0.43478260869565216,area-aligned
Sea Cucumbers,44,q3,6,0.13636363636363635,0.09090909090909091,area-aligned
Surgeons/Tangs/Unicornfish,77,q3,21,0.2727272727272727,0.11688311688311688,area-aligned
Tunas/Billfish,59,q3,11,0.1864406779661017,0.4745762711864407,area-aligned
Wrasses,472,q3,172,0.3644067796610169,0.1673728813559322,area-aligned
Mangroves,2,q3,0,0,0,area-aligned
Sea grasses,6,q3,0,0,0,area-aligned
Terr. Mammals,2,q3,1,0.5,0,area-aligned
Angelfish,72,q4,20,0.2777777777777778,0.18055555555555555,poorly aligned
Bonefish/Tarpon,12,q4,2,0.16666666666666666,0.5,poorly aligned
