"","rgn_id","taxa_code","sust_coeff"
"1",5,"Blue shrimp_1","genus_average"
"2",5,"Pacific cupped oyster_2","sp_average"
"3",6,"Blue shrimp_3","genus_average"
"4",6,"Whiteleg shrimp_4","sp_average"
"5",7,"Giant tiger prawn_5","taxon_average"
"6",8,"Bear paw clam_6","taxon_average"
"7",8,"Crocus giant clam_7","taxon_average"
"8",8,"Elongate giant clam_8","taxon_average"
"9",8,"Fluted giant clam_9","taxon_average"
"10",8,"Giant clam_10","taxon_average"
"11",8,"Milkfish_11","sp_average"
"12",8,"Smooth giant clam_12","taxon_average"
"13",9,"Clams, etc. nei_13","sp_average"
"14",9,"Milkfish_14","sp_average"
"15",10,"Milkfish_15","sp_average"
"16",13,"Banana prawn_16","sp_average"
"17",13,"Milkfish_17","sp_average"
"18",13,"Mullets nei_18","sp_average"
"19",13,"Whiteleg shrimp_19","sp_average"
"20",14,"Abalones nei_20","none"
"21",14,"Abalones nei_21","none"
"22",14,"Amberjacks nei_22","taxon_average"
"23",14,"Amberjacks nei_23","taxon_average"
"24",14,"Barramundi(=Giant seaperch)_24","none"
"25",14,"Barramundi(=Giant seaperch)_25","none"
"26",14,"Blackhead seabream_26","taxon_average"
"27",14,"Blackhead seabream_27","taxon_average"
"28",14,"Blood cockle_28","none"
"29",14,"Blue swimming crab_29","taxon_average"
"30",14,"Clams, etc. nei_30","sp_average"
"31",14,"Clams, etc. nei_31","sp_average"
"32",14,"Cobia_32","taxon_average"
"33",14,"Cobia_33","taxon_average"
"34",14,"Croakers, drums nei_34","taxon_average"
"35",14,"Flathead grey mullet_35","none"
"36",14,"Flathead grey mullet_36","none"
"37",14,"Fourfinger threadfin_37","taxon_average"
"38",14,"Giant tiger prawn_38","none"
"39",14,"Gobies nei_39","sp_average"
"40",14,"Greasyback shrimp_40","genus_average"
"41",14,"Greater amberjack_41","taxon_average"
"42",14,"Groupers nei_42","none"
"43",14,"Groupers nei_43","none"
"44",14,"Indo-Pacific swamp crab_44","taxon_average"
"45",14,"Japanese carpet shell_45","genus_average"
"46",14,"Japanese carpet shell_46","genus_average"
"47",14,"Japanese eel_47","taxon_average"
"48",14,"Japanese hard clam_48","taxon_average"
"49",14,"Japanese hard clam_49","taxon_average"
"50",14,"Japanese spiny lobster_50","taxon_average"
"51",14,"Japanese spiny lobster_51","taxon_average"
"52",14,"Kuruma prawn_52","none"
"53",14,"Kuruma prawn_53","none"
"54",14,"Marine crabs nei_54","taxon_average"
"55",14,"Marine crabs nei_55","taxon_average"
"56",14,"Marine fishes nei_56","sp_average"
"57",14,"Marine fishes nei_57","sp_average"
"58",14,"Marine molluscs nei_58","sp_average"
"59",14,"Marine molluscs nei_59","sp_average"
"60",14,"Milkfish_60","none"
"61",14,"Natantian decapods nei_61","sp_average"
"62",14,"Pacific cupped oyster_62","none"
"63",14,"Porgies, seabreams nei_63","taxon_average"
"64",14,"Porgies, seabreams nei_64","taxon_average"
"65",14,"Redtail prawn_65","taxon_average"
"66",14,"Snappers, jobfishes nei_66","taxon_average"
"67",14,"Snappers, jobfishes nei_67","taxon_average"
"68",14,"Trumpet emperor_68","taxon_average"
"69",14,"Whiteleg shrimp_69","none"
"70",15,"Banana prawn_70","none"
"71",15,"Barramundi(=Giant seaperch)_71","none"
"72",15,"Flathead lobster_72","taxon_average"
