layer,dataprep_url
ao_access,globalprep/ao/v2021/ao_access_data_prep.html
ao_sust,globalprep/ao/v2021/ao_catch_prep_saup.html
ao_sust,globalprep/ao/v2021/ao_stock_status_saup.html
ao_need,globalprep/ao/v2021/ao_need_data_prep.html
cc_acid,globalprep/prs_oa/v2017/create_oa_layer.html
cc_slr,globalprep/prs_slr/v2021/slr_layer_prep_v2.html
cc_sst,globalprep/prs_sst/v2021/sst_layer_prep.html
cc_uv,globalprep/prs_uv/v2021/uv_dataprep.html
cw_chemical_trend,globalprep/prs_chem/v2016
cw_nutrient_trend,globalprep/prs_land-based_nutrient/v2021/STEP6_prep_layers/STEP1_zonal_extract.html
cw_pathogen_trend,globalprep/prs_cw_pathogen/v2021/cw_sanitation_data_prep.html
cw_trash_trend,globalprep/cw_trend_trash/v2016/cw_trend_trash_dataprep.html
eco_status,globalprep/le/v2018
eco_trend,globalprep/le/v2018
element_wts_cp_km2_x_protection,globalprep/weighting_files
element_wts_cs_km2_x_storage,globalprep/weighting_files
element_wts_hab_pres_abs,globalprep/weighting_files
fis_b_bmsy,globalprep/fis/v2021/STEP3_calculate_bbmsy.html
fis_b_bmsy,globalprep/fis/v2021/STEP5_RAM_CMSY_combine.html
fis_b_bmsy,globalprep/fis/v2021/STEP4a_RAM_data_prep.html
fis_meancatch,globalprep/fis/v2021/STEP1_download_saup_match_fao_data.html
fis_meancatch,globalprep/fis/v2020/STEP2a_saup_catch_prep.html
fp_art_hb,globalprep/prs_fish/v2020/fishing_pressure_layers.html
fp_art_hb,globalprep/prs_fish/v2020/npp.html
fp_art_lb,globalprep/prs_fish/v2020/fishing_pressure_layers.html
fp_art_lb,globalprep/prs_fish/v2020/npp.html
fp_com_hb,globalprep/prs_fish/v2020/fishing_pressure_layers.html
fp_com_hb,globalprep/prs_fish/v2020/npp.html
fp_com_lb,globalprep/prs_fish/v2020/fishing_pressure_layers.html
fp_com_lb,globalprep/prs_fish/v2020/npp.html
fp_habitat,globalprep/res_cbd_habitat
fp_fish_management,globalprep/res_fisheries_governance/v2022/fisheries_governance_dataprep.html
fp_artisanal,globalprep/ao/v2021/ao_access_data_prep.html
fp_mpa_coast,globalprep/lsp/v2021/lsp_data_prep.html
fp_mpa_eez,globalprep/lsp/v2021/lsp_data_prep.html
fp_targetharvest,globalprep/prs_targetedharvest/v2021/targetharvest_dataprep.html
fp_wildcaught_weight,globalprep/fp/v2021/FP_script.html
g_cites,globalprep/res_cites_signatories/v2017
g_tourism,globalprep/res_cbd_habitat
hab_coral_extent,globalprep/hab_coral/v2021/coral_extent.html
hab_coral_health,globalprep/hab_coral/v2021/coral_health.html
hab_coral_trend,globalprep/hab_coral/v2021/coral_trend.html
hab_mangrove_extent,globalprep/hab_mangrove/v2021/mangrove_extent.html
hab_mangrove_health,globalprep/hab_mangrove/v2021/mangrove_health.html
hab_mangrove_trend,globalprep/hab_mangrove/v2021/mangrove_trend.html
hab_rockyreef_extent,globalprep/hab_rockyreef
hab_kelp_extent,globalprep/hab_kelp/v2021/kelp_extent.html
hab_kelp_health,globalprep/hab_kelp/v2021/kelp_condition.html
