"","rgn_id","year","gapfilled","method"
"1",1,2005,1,"UN_geopolitical region avg, r2"
"2",1,2006,1,"UN_geopolitical region avg, r2"
"3",1,2007,1,"UN_geopolitical region avg, r2"
"4",1,2008,1,"UN_geopolitical region avg, r2"
"5",1,2009,1,"UN_geopolitical region avg, r2"
"6",1,2010,1,"UN_geopolitical region avg, r2"
"7",1,2011,1,"UN_geopolitical region avg, r2"
"8",1,2012,1,"UN_geopolitical region avg, r2"
"9",1,2013,1,"UN_geopolitical region avg, r2"
"10",1,2014,1,"UN_geopolitical region avg, r2"
"11",1,2015,1,"UN_geopolitical region avg, r2"
"12",1,2016,1,"UN_geopolitical region avg, r2"
"13",2,2005,1,"UN_geopolitical region avg, r2"
"14",2,2006,1,"UN_geopolitical region avg, r2"
"15",2,2007,1,"UN_geopolitical region avg, r2"
"16",2,2008,1,"UN_geopolitical region avg, r2"
"17",2,2009,1,"UN_geopolitical region avg, r2"
"18",2,2010,1,"UN_geopolitical region avg, r2"
"19",2,2011,1,"UN_geopolitical region avg, r2"
"20",2,2012,1,"UN_geopolitical region avg, r2"
"21",2,2013,1,"UN_geopolitical region avg, r2"
"22",2,2014,1,"UN_geopolitical region avg, r2"
"23",2,2015,1,"UN_geopolitical region avg, r2"
"24",2,2016,1,"UN_geopolitical region avg, r2"
"25",3,2005,1,"UN_geopolitical region avg, r2"
"26",3,2006,1,"UN_geopolitical region avg, r2"
"27",3,2007,1,"UN_geopolitical region avg, r2"
"28",3,2008,1,"UN_geopolitical region avg, r2"
"29",3,2009,1,"UN_geopolitical region avg, r2"
"30",3,2010,1,"UN_geopolitical region avg, r2"
"31",3,2011,1,"UN_geopolitical region avg, r2"
"32",3,2012,1,"UN_geopolitical region avg, r2"
"33",3,2013,1,"UN_geopolitical region avg, r2"
"34",3,2014,1,"UN_geopolitical region avg, r2"
"35",3,2015,1,"UN_geopolitical region avg, r2"
"36",3,2016,1,"UN_geopolitical region avg, r2"
"37",4,2005,1,"UN_geopolitical region avg, r2"
"38",4,2006,1,"UN_geopolitical region avg, r2"
"39",4,2007,1,"UN_geopolitical region avg, r2"
"40",4,2008,1,"UN_geopolitical region avg, r2"
"41",4,2009,1,"UN_geopolitical region avg, r2"
"42",4,2010,1,"UN_geopolitical region avg, r2"
"43",4,2011,1,"UN_geopolitical region avg, r2"
"44",4,2012,1,"UN_geopolitical region avg, r2"
"45",4,2013,1,"UN_geopolitical region avg, r2"
"46",4,2014,1,"UN_geopolitical region avg, r2"
"47",4,2015,1,"UN_geopolitical region avg, r2"
"48",4,2016,1,"UN_geopolitical region avg, r2"
"49",5,2005,1,"UN_geopolitical region avg, r2"
"50",5,2006,1,"UN_geopolitical region avg, r2"
"51",5,2007,1,"UN_geopolitical region avg, r2"
"52",5,2008,1,"UN_geopolitical region avg, r2"
"53",5,2009,1,"UN_geopolitical region avg, r2"
"54",5,2010,1,"UN_geopolitical region avg, r2"
"55",5,2011,1,"UN_geopolitical region avg, r2"
"56",5,2012,1,"UN_geopolitical region avg, r2"
"57",5,2013,1,"UN_geopolitical region avg, r2"
"58",5,2014,1,"UN_geopolitical region avg, r2"
"59",5,2015,1,"UN_geopolitical region avg, r2"
"60",5,2016,1,"UN_geopolitical region avg, r2"
"61",6,2005,0,NA
"62",6,2006,0,NA
"63",6,2007,0,NA
"64",6,2008,0,NA
"65",6,2009,0,NA
"66",6,2010,0,NA
"67",6,2011,0,NA
"68",6,2012,0,NA
"69",6,2013,0,NA
"70",6,2014,0,NA
"71",6,2015,0,NA
"72",6,2016,0,NA
"73",7,2005,0,NA
"74",7,2006,0,NA
"75",7,2007,0,NA
"76",7,2008,0,NA
"77",7,2009,0,NA
"78",7,2010,0,NA
"79",7,2011,0,NA
"80",7,2012,0,NA
"81",7,2013,0,NA
"82",7,2014,0,NA
"83",7,2015,0,NA
"84",7,2016,0,NA
"85",8,2005,0,NA
"86",8,2006,0,NA
"87",8,2007,0,NA
"88",8,2008,0,NA
"89",8,2009,0,NA
"90",8,2010,0,NA
"91",8,2011,0,NA
"92",8,2012,0,NA
"93",8,2013,0,NA
"94",8,2014,0,NA
"95",8,2015,0,NA
"96",8,2016,0,NA
"97",9,2005,0,NA
"98",9,2006,0,NA
"99",9,2007,0,NA
"100",9,2008,0,NA
"101",9,2009,0,NA
"102",9,2010,0,NA
"103",9,2011,0,NA
"104",9,2012,0,NA
"105",9,2013,0,NA
