"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.65,76.2,84.34,87.73,91.13,88.04,79.16,69.37,87.84,82.41,76.97,56.85,53.51,5.77,67.44,62.91,58.38,52.5,50.93
"Howland Island and Baker Island",158,93.66,,79.79,89.9,100,100,,97.87,,,,96.25,96.25,,68.6,84.3,100,,
"Heard and McDonald Islands",94,92.44,,91.01,95.5,100,,,99.71,,,,84.16,84.16,,80.77,90.38,100,,
"Amsterdam Island and Saint Paul Island",92,87.11,,78.87,89.43,100,,,90.69,,,,93.3,93.3,,50.06,75.03,100,,
"Kerguelen Islands",93,86.66,,87.49,93.75,100,,,98.78,,,,78.96,78.96,,50.28,75.14,100,,
"Seychelles",31,86.17,73.43,86.32,91.96,97.6,86.38,100,86.31,69.59,84.79,100,88.6,88.6,0,63.46,61.61,59.76,88.6,100
"Crozet Islands",91,85.84,,86.08,86.08,,,,96.51,,,,85.63,85.63,,50.29,75.14,100,,
"Glorioso Islands",30,85.7,,89.15,91.89,94.63,92.79,,92.08,96.7,95.05,93.4,67.09,67.09,,50.54,75.27,100,,
"Germany",176,85.48,95.6,85.68,88.18,90.68,100,100,51.49,100,91.86,83.73,63.17,63.57,73.21,92.52,96.26,100,76.82,91.02
"Jarvis Island",149,85.17,,78.83,84.02,89.2,,,98.38,,,,73.86,73.86,,68.89,84.44,100,,
"Palmyra Atoll",150,83.7,,77.45,85.28,93.11,77.68,,92.84,,,,78.47,78.47,,68.44,84.22,100,,
"Ile Europa",35,83.58,,84.75,88.77,92.79,92.79,,93.78,,,,67.48,67.48,,50.12,75.06,100,,
"South Georgia and the South Sandwich Islands",89,83.48,,90.51,92.68,94.86,,,98.89,,,,58.71,58.71,,67.31,83.66,100,,
"Greenland",145,83.19,95.68,86.8,91.15,95.51,95.23,,94.44,100,100,100,68.95,68.95,0,62.77,81.05,99.34,,39.03
"Christmas Island",2,83.05,95.88,84.58,90.56,96.54,93.12,92.76,80.3,100,96.35,92.7,58.34,58.34,0,69.57,62.55,55.52,,77.6
"Bahamas",110,82.98,90.77,91.11,88.37,85.63,55.85,99.71,63.17,96.38,83.23,70.08,75.57,75.57,0,74.84,73.16,71.49,99.96,100
"New Caledonia",5,82.5,65.45,89.31,88.63,87.96,76.84,78.6,88.56,92.61,96.3,100,90.82,65.44,0.08,67.69,78.09,88.49,97.25,89.84
"Johnston Atoll",159,82.22,,78.79,85.62,92.44,77.54,,75.21,,,,88.63,88.63,,68.19,84.1,100,,
"Norfolk Island",3,81.85,95.88,86.32,93.16,100,,,75.55,100,96.35,92.7,44.41,44.41,0,80.11,90.06,100,,77.54
"Phoenix Islands (Kiribati)",157,81.44,61.13,78.9,83.95,89.01,100,,96.36,68.75,74.52,80.28,60.72,60.72,0,66.64,83.32,100,,91.52
"Cocos Islands",1,80.93,95.88,84.1,90.84,97.59,97.62,92.76,83.3,100,96.35,92.7,57.62,57.62,0,71.44,35.72,0,,78.27
"Northern Saint-Martin",221,80.24,86.74,94.81,95.73,96.65,95.26,100,44.9,85.39,90.88,96.36,20.77,20.77,0,75.75,87.88,100,,100
"Estonia",70,80.18,90.51,88.6,94.3,100,100,100,67.65,100,75.57,51.13,85.76,85.76,0,95.45,97.73,100,46.18,44.07
"Aruba",250,80.14,90.85,90.4,94.18,97.95,99.99,99.95,61.89,100,100,100,27.11,27.11,,82.82,47.32,11.83,,100
"British Indian Ocean Territory",38,80.07,56.9,89.89,94.95,100,100,,93.49,96.98,77.14,57.31,90.6,90.6,0,69.7,84.85,100,,42.63
"Puerto Rico and Virgin Islands of the United States",116,79.89,93.61,87.14,91.04,94.94,83.59,100,54.61,92.27,73.39,54.5,53.91,53.91,0.01,75.32,73.77,72.22,,95.08
"Wake Island",12,79.51,,79.22,79.17,79.12,76.57,,71.08,69.13,73.15,77.16,93.05,93.05,,68.1,84.05,100,,
"Norway",223,79.44,100,82.05,87.58,93.11,58.4,,78.6,78.72,82.08,85.44,83.41,88.74,100,63.34,75.4,87.46,70.94,73.17
"Jan Mayen",144,79.42,,79.66,67.7,55.74,,,92.58,90.64,88.19,85.75,61.02,61.02,,75.21,87.6,100,,
"Italy",184,79.32,90.52,73.27,83.39,93.5,85.65,85.04,50.93,100,87.03,74.07,50.01,60.02,81.61,69.77,84.89,100,81.24,84.5
"Northern Mariana Islands and Guam",13,79.2,85.58,80.23,89.39,98.55,98.16,93.15,61.65,48.66,63.89,79.13,77.7,76.45,0.22,62.22,52.22,42.22,,92.3
"Macquarie Island",4,78.83,,90.13,95.06,100,,,98.92,,,,33.75,33.75,,75.16,87.58,100,,
"Antigua and Barbuda",120,78.69,78.09,88.41,88.87,89.33,81.51,99.94,55.03,88.54,94.27,100,32.85,32.85,0,76.24,77.66,79.07,,100
"New Zealand",162,78.59,94.59,87.32,88.79,90.26,68.69,64.67,80.06,100,100,100,79.61,65.09,2.23,61.67,62.93,64.19,68.48,92.56
"Netherlands",177,78.43,96.77,84.41,81.24,78.07,100,100,46.12,80.33,66.97,53.6,71.77,75.96,100,81.33,90.66,100,65.15,61.45
"United Arab Emirates",54,78.39,100,89.72,93.86,98,93.22,91.68,65.29,100,100,100,62.66,61.74,0.03,63.36,68.44,73.53,57.24,52.46
"Prince Edward Islands",90,78.35,,84.43,92.22,100,,,88.34,,,,52.37,52.37,,60.95,80.48,100,,
"American Samoa",151,78.06,84.72,78.58,88.2,97.82,95.4,93.73,56.57,72.12,85.66,99.2,69.32,69.32,0,63.51,65.9,68.29,,63.05
"French Polynesia",147,77.82,64.74,82.47,90.03,97.59,99.57,91.16,84.32,46.07,73.04,100,86.12,75.58,0.53,67.17,33.58,0,98.54,67.66
"Australia",16,77.6,97.16,92.62,93.55,94.48,89.4,92.92,82.3,100,95.62,91.23,40.42,29.28,0.1,87.03,93.51,100,41.73,60.52
"Madeira",57,77.42,81.83,82.29,87.26,92.24,,,68.98,94.88,83.32,71.76,60.94,60.94,0,63.47,81.73,100,,77.88
"Pitcairn",146,77.33,71.48,81.25,90.62,100,100,,82.69,72.7,80.99,89.28,86.53,86.53,0,81.48,40.74,0,,65.58
"Juan de Nova Island",33,77.24,,87.06,91.65,96.24,92.79,,91.77,96.7,95.05,93.4,67.16,67.16,,50.03,25.01,0,,
"Qatar",190,76.88,100,89.87,93.93,98,95.26,90.71,59.54,81.8,68.66,55.52,59.04,59.04,0,71.64,73.79,75.93,,51.01
"Ile Tromelin",36,76.82,,82.96,87.87,92.79,92.79,,91.53,,,,86.9,86.9,,50.01,25,0,,
"Clipperton Island",107,76.71,,76.23,88.11,100,,,86.01,,,,96.85,96.85,,71.73,35.87,0,,
"Bassas da India",34,76.59,,85.53,90.96,96.39,92.79,,92.06,,,,82.14,82.14,,50.05,25.02,0,,
"Malta",68,76.41,88.53,71.49,83.55,95.61,88.24,88.43,48.41,100,88.87,77.75,32.96,29.09,23.21,51.85,72.58,93.31,,100
"South Korea",20,75.86,94.23,91.76,95.88,100,,,61.75,100,94.78,89.56,35.08,86.36,100,65.31,74.03,82.76,89.5,10.34
"Line Islands (Kiribati)",148,75.72,60.02,77.92,88.96,100,100,,86.81,68.5,74.17,79.85,72.8,72.8,0,65.66,32.83,0,,90.19
"Denmark",175,75.61,97.51,86.28,91.1,95.92,100,100,53.27,71.87,71.17,70.47,60.47,61.21,74.9,91.96,95.98,100,60.72,25.11
"Wallis and Futuna",161,75.52,63.84,81.33,90.03,98.74,100,,86.04,72.33,80.8,89.28,81.46,81.46,0,75.35,37.67,0,,64.34
"Finland",174,75.43,94.16,89.35,94.68,100,,,72.06,100,84.64,69.28,68.39,72.61,100,96.15,81.6,67.05,81.7,21.98
"Cayman Islands",113,75.39,100,88.42,87.49,86.57,63.47,91.61,54.31,100,100,100,13.65,13.65,0,73.05,52.27,31.49,100,91.13
"Curacao",244,75.31,80.16,88.53,92.73,96.93,99.96,90.7,67.73,79.97,72.71,65.45,43.83,43.83,,71.64,60.57,49.5,44.69,100
"Belgium",59,75.23,94.82,87.02,93.51,100,100,100,32.19,100,81.73,63.45,65.15,65.15,0,79.96,89.98,100,66.46,28.47
"Saba",248,75.16,77.74,93.64,96.82,100,100,100,68.11,79.96,72.67,65.38,34.33,34.33,0,73.38,81.58,89.78,20.39,100
"Suriname",168,74.55,73.68,85.92,92.9,99.87,99.74,99.74,72.37,75.5,85.85,96.2,24.33,24.28,0,75.72,87.86,100,99.54,9.54
"Slovenia",188,74.4,84.7,84.69,92.35,100,,,28.49,100,100,100,41.51,97.95,100,61.13,80.57,100,73.53,37.63
"Maldives",39,74.07,57.37,83.47,89.79,96.12,98.66,85.63,24.46,41.01,70.51,100,80.16,80.16,0,65.78,35.08,4.38,99.81,99.24
"United States",163,73.82,99.19,84.57,80.96,77.36,94.13,61.97,73.15,99.91,77.77,55.62,77.6,74.89,1.19,67.94,71.54,75.14,63.03,41.62
"Mayotte",29,73.8,52.82,88.58,92.48,96.39,92.81,92.71,53.53,100,100,100,53.15,52.67,0.08,62.27,79.13,95.99,,48.03
"Bonaire",245,73.73,77.38,89.54,93.75,97.95,99.59,97.16,73.26,80.28,73.05,65.82,36.32,36.32,,73,66.45,59.9,20.32,100
"United Kingdom",180,73.69,94.51,83.3,82.45,81.59,54.69,55.53,63.26,96.43,90.22,84,80.9,73.36,10.63,63,81.5,100,84.71,56.68
"Greece",80,73.55,79.26,75.15,87.57,100,,,62.5,66.3,64.39,62.49,44.6,52.33,59.73,69.87,82.68,95.49,59.67,100
"Azores",55,73.11,80.98,77.93,75.68,73.44,,,66.38,100,85.85,71.7,57.98,57.98,0,63.37,66.98,70.59,,77.92
"Canada",218,72.86,96.15,88.78,90.67,92.55,96.04,54.71,95.29,100,90.52,81.04,68.19,57.35,1.5,66.06,46.19,26.31,52.78,48.96
"Croatia",187,72.57,67.79,79.5,89.75,100,,,63.39,100,80.11,60.22,40.16,37.66,16.79,60.52,79.69,98.85,65.58,96.62
"Saint Pierre and Miquelon",219,72.43,97.2,83.46,91.73,100,,,80.84,64.26,82.1,99.95,73.31,73.31,,65.03,38.46,11.9,,43.37
"Sint Maarten",220,72.39,88.83,92.52,94.21,95.91,100,100,49.15,84.66,90.51,96.36,20.47,20.47,0,74.51,60.52,46.53,20.17,100
"Palau",8,72.26,61.82,81.71,85.34,88.96,91.72,64.63,72.74,100,83.41,66.82,64.03,63.82,0.04,61.81,45.04,28.27,61.54,92.57
"Dominican Republic",115,72.23,70.76,88.11,89.99,91.86,96.05,86.31,49.8,98.77,83.08,67.4,44.02,42.04,0.29,72,86,100,83.24,35.03
"Cuba",112,72.19,89.26,90.53,85.18,79.83,67.43,100,62.86,89.3,92.95,96.59,28.43,22.54,0.15,73.4,86.7,100,98.2,16.8
"Guadeloupe and Martinique",140,72.12,86.91,90.64,92.73,94.82,96.41,99.94,74.32,32.63,65.43,98.24,15.61,15.38,0.08,76.19,88.09,100,,29.82
"Iceland",143,72.08,95.38,82.53,76.02,69.52,,,85.74,43.58,64.31,85.03,74.84,73.7,0.4,66.58,53.07,39.56,68.54,59.86
"Montserrat",121,71.9,83.96,93.01,91.08,89.15,73.19,73.4,67.82,85.95,91.16,96.36,26.14,26.14,0,80.69,40.35,0,,100
