region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Global average,0,73.29,76.09,79.07,78.24,77.41,82.59,81.05,68.23,86.33,80.79,75.25,55.67,51.66,5.71,67.8,62.19,56.59,76.84,78.22
Macquarie Island,4,93.14,NA,80.05,90.02,100,100,NA,97.59,NA,NA,NA,92.9,92.9,NA,70.36,85.18,100,NA,NA
Howland Island and Baker Island,158,91.13,NA,75.94,87.56,99.18,99.18,NA,95.86,NA,NA,NA,87.22,87.22,NA,71.68,85.84,100,NA,NA
Jarvis Island,149,90.88,NA,74.44,85.83,97.23,95.45,NA,96.76,NA,NA,NA,90.51,90.51,NA,71.68,85.84,100,NA,NA
Ile Europa,35,89.62,NA,77.23,87.19,97.16,92.25,100,87.56,NA,NA,NA,96.6,96.6,NA,48.28,74.14,100,NA,NA
Palmyra Atoll,150,84.45,NA,73.95,80.12,86.28,73.56,NA,92,NA,NA,NA,90.71,90.71,NA,71.68,85.84,100,NA,NA
Seychelles,31,84.25,87.32,80.08,83.47,86.86,80.9,99.96,79.91,65.65,82.82,100,73.3,73.3,0,60.23,56.73,53.23,99.62,98.52
New Zealand,162,83.83,79.23,77.65,79.31,80.96,99.93,96.13,74.95,100,100,100,60.74,50.4,2.29,62.04,60.98,59.92,97.36,100
Heard and McDonald Islands,94,82.95,NA,81.81,90.91,100,NA,NA,99.43,NA,NA,NA,58.83,58.83,NA,68.3,84.15,100,81.41,NA
United Arab Emirates,54,82.91,99.97,85.27,85.11,84.96,80.98,87.55,66,99,99.5,100,73.95,73.27,0.1,64.34,67.56,70.79,87.84,81.3
Mayotte,29,82.74,81.02,80.89,89.08,97.26,95.67,100,55.46,100,100,100,80.39,77.04,0.14,62.68,81.26,99.83,65.16,NA
Oman,48,82.45,98.53,82.05,79.84,77.63,95.48,99.12,76.19,100,100,100,55.65,55.56,0.01,61.95,57.07,52.2,98.09,64.66
Northern Saint-Martin,221,82.1,75.32,88.31,91.3,94.29,92.18,100,59.72,80.34,88.35,96.36,45.55,45.55,0,73,86.5,100,100,NA
Greenland,145,82.02,85.42,81.18,68.87,56.56,85.34,74.92,87.83,99.67,99.83,100,54.23,54.23,0,64.67,81.74,98.8,100,NA
Comoro Islands,28,81.16,87.57,80.45,84.92,89.39,91.7,99.98,43.55,92.51,91.52,90.54,77.49,77.49,0,63.11,67.71,72.32,69.55,97.63
Prince Edward Islands,90,80.67,NA,78.48,80.03,81.58,63.68,NA,90.17,NA,NA,NA,90.55,90.55,NA,57.85,78.93,100,NA,NA
Tuvalu,19,80.57,81.22,75.39,86.91,98.42,100,100,51.71,100,100,100,86.92,86.92,0,64.03,33.82,3.62,65.13,100
Juan de Nova Island,33,79.49,NA,79.5,87.58,95.66,88.22,NA,86.08,95.29,94.34,93.4,96.6,96.6,NA,48.28,24.14,0,NA,NA
Russia,73,79.3,75.45,82.35,73.13,63.91,85.34,74.98,65.73,99.33,92.78,86.22,68.01,67.66,1,77.44,73.58,69.73,86.8,97.52
